Date,Product,Category,City,State,Sales_INR,Quantity,Customer_ID,Customer_Type,Gender,Age,Payment_Method
04-Dec-2025,Wardrobe,Furniture,Kochi,Kerala,246030,3,C0044,New,Female,25,Net Banking
21-Sep-2025,Tablet,Electronics,Mumbai,Maharashtra,48462,1,C0132,Returning,Female,55,EMI
16-Sep-2025,Microwave,Home Appliances,Delhi,Delhi,1419348,7,C0125,Returning,Female,60,Net Banking
12-May-2025,Air Conditioner,Home Appliances,Kochi,Kerala,736560,6,C0385,Returning,Male,54,EMI
13-Nov-2025,Bookshelf,Furniture,Kolkata,West Bengal,552462,3,C0065,New,Female,34,Credit Card
27-Jul-2025,Laptop,Electronics,Delhi,Delhi,1610312,8,C0214,New,Male,55,EMI
09-Aug-2025,Camera,Electronics,Coimbatore,Tamil Nadu,62766,1,C0111,Returning,Female,43,Credit Card
26-Jul-2025,Bookshelf,Furniture,Coimbatore,Tamil Nadu,639560,5,C0384,Returning,Male,45,EMI
12-Nov-2025,Bookshelf,Furniture,Coimbatore,Tamil Nadu,322068,3,C0396,Returning,Female,31,EMI
27-Jan-2025,SSD,Electronics,Kolkata,West Bengal,531384,8,C0090,Returning,Female,48,EMI
12-Jan-2025,Microwave,Home Appliances,Coimbatore,Tamil Nadu,1907856,8,C0260,New,Male,65,Debit Card
28-Jul-2025,Wardrobe,Furniture,Bengaluru,Karnataka,1822800,6,C0224,Returning,Female,32,Net Banking
09-Oct-2025,Washing Machine,Home Appliances,Pune,Maharashtra,56808,3,C0273,New,Male,54,UPI
15-Nov-2025,Sofa,Furniture,Kolkata,West Bengal,192610,1,C0060,Returning,Male,26,Debit Card
13-May-2025,SSD,Electronics,Ahmedabad,Gujarat,1719466,7,C0384,New,Male,27,UPI
26-Mar-2025,Air Conditioner,Home Appliances,Kolkata,West Bengal,330612,2,C0272,New,Female,57,Credit Card
02-Aug-2025,Camera,Electronics,Chennai,Tamil Nadu,2709216,8,C0309,New,Female,27,UPI
03-Dec-2025,Mixer Grinder,Home Appliances,Bengaluru,Karnataka,906630,6,C0191,Returning,Female,57,Cash
04-Feb-2025,Washing Machine,Home Appliances,Mumbai,Maharashtra,547725,3,C0346,Returning,Male,50,Debit Card
05-May-2025,Refrigerator,Home Appliances,Coimbatore,Tamil Nadu,333678,3,C0049,New,Female,52,Net Banking
17-Nov-2025,Mixer Grinder,Home Appliances,Ahmedabad,Gujarat,1041312,8,C0340,Returning,Male,20,Net Banking
08-Oct-2025,Smart TV,Electronics,Mumbai,Maharashtra,1353480,4,C0139,Returning,Female,30,EMI
03-May-2025,Mixer Grinder,Home Appliances,Ahmedabad,Gujarat,291870,1,C0052,Returning,Female,50,Net Banking
10-Feb-2025,Air Fryer,Home Appliances,Coimbatore,Tamil Nadu,284004,3,C0258,New,Female,32,UPI
27-Oct-2025,Mobile,Electronics,Ahmedabad,Gujarat,1398240,5,C0203,New,Male,43,EMI
12-Feb-2025,Mobile,Electronics,Bengaluru,Karnataka,1399404,4,C0352,New,Male,42,UPI
04-Nov-2025,Keyboard,Electronics,Chennai,Tamil Nadu,2194948,7,C0235,New,Male,57,Cash
21-Aug-2025,Sofa,Furniture,Mumbai,Maharashtra,1337568,8,C0035,Returning,Male,27,Cash
07-Jun-2025,Study Desk,Furniture,Kolkata,West Bengal,650586,2,C0286,New,Male,33,Cash
02-Mar-2025,Monitor,Electronics,Delhi,Delhi,1028192,4,C0163,New,Male,40,EMI
13-Nov-2025,Study Desk,Furniture,Coimbatore,Tamil Nadu,1571466,6,C0398,Returning,Female,60,Cash
04-Jun-2025,Router,Electronics,Hyderabad,Telangana,315270,1,C0001,Returning,Female,58,Debit Card
13-Feb-2025,Laptop,Electronics,Kochi,Kerala,533520,3,C0058,New,Female,28,EMI
01-Aug-2025,Microwave,Home Appliances,Kolkata,West Bengal,1822656,6,C0207,Returning,Male,35,Cash
06-Dec-2025,Washing Machine,Home Appliances,Pune,Maharashtra,1347528,6,C0228,Returning,Female,26,Debit Card
10-Oct-2025,Smart TV,Electronics,Kochi,Kerala,1770848,8,C0381,New,Male,21,Debit Card
13-Dec-2025,Mouse,Electronics,Chennai,Tamil Nadu,577604,4,C0157,Returning,Male,36,Credit Card
12-Jun-2025,SSD,Electronics,Delhi,Delhi,165234,3,C0122,Returning,Female,27,Credit Card
12-Aug-2025,Wardrobe,Furniture,Pune,Maharashtra,982984,8,C0069,Returning,Male,58,EMI
17-May-2025,Wardrobe,Furniture,Kolkata,West Bengal,1200752,8,C0328,New,Female,30,Net Banking
03-Jun-2025,Mouse,Electronics,Kochi,Kerala,261886,2,C0013,Returning,Male,62,UPI
13-Mar-2025,Office Chair,Furniture,Hyderabad,Telangana,136404,4,C0170,New,Male,54,Cash
30-May-2025,Study Desk,Furniture,Chennai,Tamil Nadu,439938,2,C0400,Returning,Male,27,Credit Card
20-Nov-2025,Office Chair,Furniture,Ahmedabad,Gujarat,1030464,6,C0171,Returning,Male,64,EMI
15-Jun-2025,Office Chair,Furniture,Ahmedabad,Gujarat,1085756,4,C0110,New,Female,45,UPI
03-Aug-2025,Study Desk,Furniture,Hyderabad,Telangana,96663,3,C0141,Returning,Male,23,Debit Card
07-Nov-2025,Wardrobe,Furniture,Delhi,Delhi,836628,6,C0164,Returning,Male,39,Debit Card
24-Aug-2025,Gaming Laptop,Electronics,Kochi,Kerala,1921824,6,C0356,Returning,Female,32,Net Banking
28-May-2025,Mixer Grinder,Home Appliances,Bengaluru,Karnataka,1424778,6,C0076,Returning,Male,46,UPI
20-Jun-2025,Air Fryer,Home Appliances,Pune,Maharashtra,491855,5,C0125,Returning,Male,48,EMI
08-Oct-2025,Dining Table,Furniture,Mumbai,Maharashtra,568968,3,C0085,Returning,Male,23,EMI
02-Jun-2025,Office Chair,Furniture,Delhi,Delhi,783447,3,C0265,New,Male,49,Debit Card
12-May-2025,Dining Table,Furniture,Ahmedabad,Gujarat,1389507,7,C0030,Returning,Male,19,EMI
22-Aug-2025,Wardrobe,Furniture,Hyderabad,Telangana,1443005,5,C0028,New,Male,42,Cash
14-Dec-2025,Refrigerator,Home Appliances,Kolkata,West Bengal,345888,8,C0233,Returning,Female,20,Credit Card
28-Jul-2025,Camera,Electronics,Kochi,Kerala,893704,7,C0093,Returning,Female,29,Net Banking
22-Apr-2025,Smart Watch,Electronics,Bengaluru,Karnataka,194444,2,C0022,New,Male,43,Debit Card
03-Mar-2025,Study Desk,Furniture,Delhi,Delhi,1736448,8,C0090,New,Male,65,Debit Card
26-Dec-2025,Printer,Electronics,Chennai,Tamil Nadu,391904,4,C0104,New,Female,19,Cash
11-Feb-2025,Air Conditioner,Home Appliances,Kolkata,West Bengal,527126,2,C0067,Returning,Female,62,EMI
03-Jan-2025,Camera,Electronics,Hyderabad,Telangana,1263038,7,C0342,Returning,Female,24,Debit Card
14-Sep-2025,Mixer Grinder,Home Appliances,Kolkata,West Bengal,1340101,7,C0193,Returning,Male,40,Debit Card
23-Mar-2025,Washing Machine,Home Appliances,Delhi,Delhi,401160,8,C0216,Returning,Female,42,EMI
10-Sep-2025,Sofa,Furniture,Coimbatore,Tamil Nadu,1152165,7,C0228,New,Female,61,Net Banking
10-Jun-2025,Microwave,Home Appliances,Hyderabad,Telangana,219758,7,C0335,New,Male,49,EMI
28-Jul-2025,Headphones,Electronics,Mumbai,Maharashtra,153336,1,C0229,New,Male,59,UPI
05-Oct-2025,Refrigerator,Home Appliances,Kolkata,West Bengal,1549395,5,C0057,Returning,Female,21,Credit Card
09-Jun-2025,Camera,Electronics,Kochi,Kerala,324130,1,C0302,Returning,Female,57,Debit Card
02-Aug-2025,Camera,Electronics,Delhi,Delhi,2080589,7,C0213,New,Male,36,Debit Card
10-Apr-2025,Washing Machine,Home Appliances,Kochi,Kerala,1682814,7,C0192,Returning,Female,25,Net Banking
25-Oct-2025,Dining Table,Furniture,Ahmedabad,Gujarat,221234,1,C0057,New,Male,31,Credit Card
13-Apr-2025,SSD,Electronics,Bengaluru,Karnataka,502290,5,C0371,Returning,Male,50,Credit Card
20-Nov-2025,Study Desk,Furniture,Chennai,Tamil Nadu,574340,5,C0125,New,Male,39,UPI
24-Mar-2025,Tablet,Electronics,Pune,Maharashtra,236772,3,C0092,New,Male,60,Net Banking
20-Jul-2025,Office Chair,Furniture,Kolkata,West Bengal,112583,1,C0257,Returning,Female,44,Net Banking
31-Dec-2025,Router,Electronics,Ahmedabad,Gujarat,177533,1,C0228,New,Female,57,UPI
16-Nov-2025,Sofa,Furniture,Mumbai,Maharashtra,1489885,5,C0223,New,Female,22,Credit Card
31-Jan-2025,Mixer Grinder,Home Appliances,Delhi,Delhi,536400,4,C0005,New,Female,36,Credit Card
10-Nov-2025,Dining Table,Furniture,Kolkata,West Bengal,1709799,7,C0291,New,Male,25,Cash
05-Aug-2025,Camera,Electronics,Coimbatore,Tamil Nadu,81710,1,C0382,New,Female,59,Credit Card
25-Nov-2025,Microwave,Home Appliances,Hyderabad,Telangana,694188,6,C0337,New,Female,52,Debit Card
06-Aug-2025,Wardrobe,Furniture,Delhi,Delhi,924423,3,C0088,Returning,Female,37,Credit Card
02-Mar-2025,Keyboard,Electronics,Kolkata,West Bengal,412272,4,C0333,New,Female,27,EMI
16-Apr-2025,SSD,Electronics,Kochi,Kerala,352074,2,C0123,New,Female,53,Cash
09-Feb-2025,Air Conditioner,Home Appliances,Pune,Maharashtra,1608474,6,C0103,Returning,Male,50,Cash
28-Mar-2025,SSD,Electronics,Coimbatore,Tamil Nadu,228501,7,C0152,New,Male,48,EMI
05-Jan-2025,Air Fryer,Home Appliances,Chennai,Tamil Nadu,956408,8,C0029,Returning,Female,33,Net Banking
27-Oct-2025,Dining Table,Furniture,Kolkata,West Bengal,872400,4,C0262,New,Male,34,Credit Card
23-Jul-2025,Dining Table,Furniture,Delhi,Delhi,128834,1,C0204,New,Female,63,Cash
26-Jul-2025,Dining Table,Furniture,Kochi,Kerala,795600,5,C0248,Returning,Female,40,UPI
10-Apr-2025,Bookshelf,Furniture,Ahmedabad,Gujarat,2092044,6,C0196,Returning,Male,58,Debit Card
25-Jun-2025,Refrigerator,Home Appliances,Mumbai,Maharashtra,220935,1,C0229,Returning,Male,62,Credit Card
11-Jan-2025,Refrigerator,Home Appliances,Hyderabad,Telangana,396856,8,C0130,New,Female,35,Credit Card
22-Aug-2025,Refrigerator,Home Appliances,Kolkata,West Bengal,1583040,8,C0320,New,Female,54,Net Banking
07-May-2025,Sofa,Furniture,Kochi,Kerala,913990,5,C0374,New,Male,43,EMI
14-May-2025,Gaming Laptop,Electronics,Kolkata,West Bengal,53434,2,C0113,Returning,Female,41,Debit Card
18-Jul-2025,Microwave,Home Appliances,Mumbai,Maharashtra,151233,3,C0037,Returning,Female,24,Cash
27-Aug-2025,Microwave,Home Appliances,Coimbatore,Tamil Nadu,207255,3,C0309,New,Male,56,Credit Card
16-Feb-2025,Dining Table,Furniture,Coimbatore,Tamil Nadu,298486,2,C0086,Returning,Female,21,Cash
28-Mar-2025,Headphones,Electronics,Kolkata,West Bengal,208412,4,C0219,New,Female,27,Cash
19-Oct-2025,Office Chair,Furniture,Hyderabad,Telangana,162336,6,C0052,Returning,Female,61,UPI
31-Jan-2025,Tablet,Electronics,Ahmedabad,Gujarat,2253152,8,C0317,New,Female,26,Credit Card
23-Dec-2025,Wardrobe,Furniture,Mumbai,Maharashtra,1066330,5,C0002,New,Female,20,UPI
01-Dec-2025,Air Fryer,Home Appliances,Bengaluru,Karnataka,203535,5,C0393,New,Female,62,Cash
20-Jan-2025,Sofa,Furniture,Hyderabad,Telangana,1327564,4,C0043,New,Male,18,Debit Card
14-Jul-2025,Sofa,Furniture,Hyderabad,Telangana,596442,7,C0015,New,Male,20,Net Banking
27-Oct-2025,Keyboard,Electronics,Coimbatore,Tamil Nadu,1222080,5,C0275,New,Male,32,EMI
16-Dec-2025,Office Chair,Furniture,Bengaluru,Karnataka,565890,3,C0222,New,Male,61,UPI
05-Jul-2025,Air Conditioner,Home Appliances,Kochi,Kerala,1516290,5,C0044,Returning,Female,19,Net Banking
28-Mar-2025,Mixer Grinder,Home Appliances,Coimbatore,Tamil Nadu,154420,1,C0248,New,Male,59,EMI
02-Aug-2025,Camera,Electronics,Ahmedabad,Gujarat,631868,4,C0170,New,Male,41,UPI
22-Feb-2025,Study Desk,Furniture,Ahmedabad,Gujarat,958350,3,C0391,New,Female,25,Cash
27-Dec-2025,Washing Machine,Home Appliances,Kochi,Kerala,2382618,7,C0150,New,Male,28,Cash
29-Jan-2025,Keyboard,Electronics,Pune,Maharashtra,1175250,5,C0055,New,Male,36,Credit Card
13-Jun-2025,Refrigerator,Home Appliances,Coimbatore,Tamil Nadu,888730,5,C0221,Returning,Female,18,Debit Card
15-Nov-2025,Air Fryer,Home Appliances,Hyderabad,Telangana,972252,6,C0389,New,Female,53,Credit Card
03-Nov-2025,Dining Table,Furniture,Chennai,Tamil Nadu,2011380,6,C0383,New,Male,49,Credit Card
30-Jul-2025,Bookshelf,Furniture,Pune,Maharashtra,579982,2,C0375,New,Female,18,Cash
19-Jul-2025,Study Desk,Furniture,Coimbatore,Tamil Nadu,1019523,3,C0335,New,Female,47,EMI
03-Jul-2025,Bookshelf,Furniture,Ahmedabad,Gujarat,2399112,8,C0082,New,Female,45,Debit Card
09-Jun-2025,Headphones,Electronics,Coimbatore,Tamil Nadu,405248,2,C0269,New,Female,23,Net Banking
17-Jun-2025,Wardrobe,Furniture,Mumbai,Maharashtra,860425,5,C0238,Returning,Female,18,EMI
